CustomerID,Age,Gender,Region,Tenure_months,AnnualIncome_k,MonthlySpend_k,NumPurchases
C001,20,Male,West,17,239,22.8,10
C002,54,Male,North,57,808,47.5,8
C003,47,Female,South,8,583,35.2,8
C004,43,Male,South,49,843,42.1,11
C005,55,Male,West,41,1284,64.5,7
C006,29,Male,South,27,452,28.2,8
C007,58,Female,West,50,472,24,9
C008,33,Male,West,6,293,17.7,6
C009,63,Female,North,4,683,39.2,10
C010,32,Male,South,4,236,11.1,9
C011,34,Female,South,1,355,21,4
C012,36,Female,North,54,299,15.3,6
C013,33,Male,South,21,198,3,4
C014,55,Male,South,25,310,27.9,10
C015,26,Female,East,32,639,32.2,11
C016,22,Female,South,32,805,40.2,9
C017,60,Male,South,23,728,34.3,8
C018,35,Male,South,9,432,17,11
C019,27,Female,North,8,676,30.2,6
C020,55,Male,North,35,416,29.6,8
C021,52,Male,South,13,667,38.4,7
C022,53,Female,West,49,350,19,11
C023,52,Female,East,50,302,22.7,8
C024,46,Female,North,46,403,21.5,9
C025,63,Male,East,54,683,34.2,10
C026,24,Male,East,57,1023,54.5,10
C027,54,Male,South,15,658,37.7,10
C028,34,Female,East,21,156,4,13
C029,49,Female,South,46,535,22.8,11
C030,58,Male,West,20,366,23,7
C031,39,Female,South,17,361,29.2,7
C032,63,Female,East,41,462,24.4,9
C033,27,Male,North,19,424,14.5,7
C034,51,Female,North,14,625,36.3,8
C035,24,Male,North,8,617,30.7,8
C036,25,Female,North,18,397,19.5,9
C037,19,Male,South,45,348,6.7,11
C038,59,Female,North,26,968,60.4,4
C039,26,Female,East,59,479,27.1,13
C040,25,Female,East,56,248,5,8
C041,39,Female,West,48,600,17.4,9
C042,33,Male,North,57,1110,63.7,7
C043,30,Female,West,1,753,33.1,3
C044,34,Female,North,20,1068,46.4,9
C045,33,Male,East,3,354,8.7,4
C046,36,Female,South,46,460,17.7,8
C047,47,Female,North,3,1351,68.9,6
C048,23,Male,North,13,376,22.2,10
C049,43,Female,North,35,204,13.4,7
C050,26,Female,West,40,874,46.4,16
C051,43,Female,South,9,337,14.7,8
C052,53,Female,East,18,1078,55.7,8
C053,33,Male,South,12,845,39.9,8
C054,21,Female,East,58,264,23.2,12
C055,63,Male,South,58,212,7.5,9
C056,36,Male,West,22,538,30.5,5
C057,39,Female,East,19,294,6.8,7
C058,18,Male,West,8,540,32.4,5
C059,64,Female,North,29,2800,141,5
C060,39,Female,North,23,338,19.4,8
C061,52,Male,North,7,647,36.2,11
C062,22,Female,West,45,683,36.1,11
C063,35,Male,North,55,322,19,11
C064,19,Male,West,5,500,28.6,9
C065,50,Male,East,28,387,15.3,11
C066,56,Female,East,41,522,28.8,11
C067,33,Male,North,33,616,31.8,7
C068,27,Male,South,1,388,12.4,10
C069,20,Male,West,37,609,40.6,7
C070,56,Male,West,2,465,23.7,9
C071,62,Male,West,34,607,32.5,9
C072,30,Female,North,21,462,21.6,7
C073,38,Male,North,25,378,20.2,13
C074,55,Female,West,38,185,12,8
C075,37,Female,West,57,235,13.9,9
C076,38,Male,South,6,172,13.7,3
C077,57,Male,West,32,1554,66.7,5
C078,49,Female,West,16,540,39,7
C079,51,Male,West,14,310,22.3,11
C080,63,Male,East,51,325,16.8,10
C081,56,Male,West,22,617,29.7,7
C082,27,Male,East,56,395,15.5,10
C083,48,Female,North,56,422,12.2,7
C084,47,Male,East,14,779,43.1,8
C085,23,Male,North,53,353,27.3,9
C086,21,Female,North,49,402,16.7,9
C087,52,Male,North,43,396,22.4,8
C088,39,Male,North,28,797,22.5,8
C089,64,Female,East,17,751,32.8,4
C090,25,Male,East,4,445,22,7
C091,49,Female,North,6,686,28.7,5
C092,54,Male,East,6,339,22.3,7
C093,18,Male,East,11,505,25.4,8
C094,23,Male,North,35,516,17.2,11
C095,32,Male,South,32,593,38.5,4
C096,38,Female,West,41,118,2,14
C097,30,Female,South,4,434,30.3,3
C098,21,Female,West,12,296,21.3,4
C099,35,Male,East,36,465,28,7
C100,40,Male,West,42,467,32.7,9
C101,29,Female,North,38,771,31.5,8
C102,59,Male,North,47,593,28.5,10
C103,64,Female,East,6,593,34.1,5
C104,54,Male,West,31,511,27.9,6
C105,25,Female,East,25,968,58.8,11
C106,40,Male,South,31,335,21.2,7
C107,54,Male,South,4,516,21.4,5
C108,61,Male,West,23,283,7.9,7
C109,28,Female,East,7,925,51.1,3
C110,41,Male,West,13,289,9.8,5
C111,18,Female,South,28,796,39.9,9
C112,30,Female,East,43,152,2,7
C113,27,Male,West,26,707,39.8,7
C114,24,Female,East,6,222,14.6,5
C115,41,Male,North,10,505,15.6,5
C116,56,Female,East,38,628,27.9,15
C117,46,Male,East,17,426,19.6,2
C118,25,Male,East,39,285,12.7,11
C119,54,Male,West,15,183,7.9,8
C120,48,Female,East,10,319,15,7
C121,59,Female,South,44,313,9.9,10
C122,58,Female,West,26,717,38.6,9
C123,63,Male,South,20,352,12.7,14
C124,30,Male,North,21,386,6.6,4
C125,42,Female,West,46,304,11.5,11
C126,53,Male,West,24,321,16.6,7
C127,47,Female,East,28,491,29,8
C128,23,Female,West,48,725,28.6,9
C129,50,Female,North,26,369,19.9,10
C130,19,Male,East,12,268,11.4,6
C131,61,Male,North,49,258,22,11
C132,49,Male,West,58,290,13.7,8
C133,35,Female,South,5,630,32.9,3
C134,38,Female,South,18,735,47.4,9
C135,64,Male,South,50,200,4.5,13
C136,62,Female,East,52,346,2,12
C137,43,Male,West,56,240,2,11
C138,61,Male,East,15,345,6,6
C139,20,Female,North,37,400,15.5,8
C140,53,Female,South,10,771,30.1,4
C141,56,Male,West,52,704,41.3,8
C142,54,Male,North,15,315,15.7,5
C143,28,Male,North,17,458,23.6,5
C144,50,Male,West,58,228,11.7,7
C145,25,Male,South,43,646,22.6,10
C146,53,Male,North,17,499,42.1,9
C147,55,Female,East,39,461,30.5,9
C148,32,Female,West,48,472,30.9,8
C149,60,Female,South,44,499,24.2,8
C150,63,Female,West,12,424,15.2,6
C151,30,Female,East,47,543,20.8,11
C152,54,Male,South,6,692,44.5,4
C153,55,Female,East,50,541,33.7,10
C154,57,Male,North,59,414,21.9,11
C155,59,Female,East,42,390,14.6,9
C156,19,Male,East,53,608,32.3,12
C157,27,Female,West,3,355,20.6,4
C158,29,Male,East,18,426,16.5,10
C159,54,Female,North,12,543,23.6,8
C160,32,Male,South,21,560,24.7,5
C161,58,Female,South,1,1294,61.4,9
C162,59,Female,East,54,319,7,11
C163,46,Female,West,6,199,2,5
C164,44,Female,West,22,416,31.8,4
C165,41,Female,West,1,631,38.2,7
C166,49,Male,East,29,800,40.7,9
C167,20,Male,North,53,664,30.9,5
C168,41,Male,North,53,312,11.4,7
C169,44,Female,West,27,649,24.1,6
C170,39,Female,West,53,382,20.9,10
C171,58,Female,East,57,591,23.6,9
C172,39,Male,South,15,2600,134.7,9
C173,31,Female,South,1,189,2,7
C174,43,Female,West,46,251,12.3,7
C175,29,Male,East,58,391,17.6,10
C176,58,Male,South,22,489,18.9,3
C177,29,Male,West,10,335,17.8,5
C178,57,Male,East,50,390,20.6,6
C179,27,Male,East,29,504,41.8,4
C180,62,Male,South,50,491,22.2,10
C181,58,Male,West,31,769,47.2,11
C182,55,Male,East,52,329,13.9,12
C183,43,Male,East,51,366,17.3,8
