EmployeeID,Age,EducationYears,ExperienceYears,WeeklyHours,Salary_k
E001,33,10,12,51,75.7
E002,55,18,13,44,89.4
E003,47,10,9,46,62.4
E004,34,10,9,46,58.6
E005,26,12,1,48,65.6
E006,50,10,11,43,71.7
E007,36,12,5,52,65.8
E008,43,10,15,42,82.0
E009,44,21,2,33,69.4
E010,32,21,4,46,78.4
E011,35,12,14,44,76.3
E012,55,18,22,50,111.8
E013,49,10,13,49,78.7
E014,53,16,9,46,81.1
E015,26,21,0,46,61.6
E016,35,16,13,46,88.4
E017,24,12,3,41,55.7
E018,57,12,35,38,133.6
E019,45,21,12,40,76.2
E020,30,16,5,44,67.5
E021,51,10,9,31,61.9
E022,50,15,24,42,111.6
E023,33,16,7,39,69.2
E024,46,21,7,44,75.6
E025,25,21,1,40,67.2
E026,38,15,6,45,70.1
E027,41,12,13,44,74.9
E028,23,18,2,53,61.1
E029,49,21,3,43,72.8
E030,54,15,31,44,121.0
E031,47,10,20,45,95.7
E032,42,21,17,34,105.3
E033,57,12,7,39,63.8
E034,36,21,2,54,74.3
E035,36,21,11,48,91.5
E036,34,21,12,46,99.1
E037,38,18,6,51,83.1
E038,45,12,2,44,54.2
E039,39,12,6,44,66.7
E040,34,21,11,43,88.6
E041,43,15,18,34,87.9
E042,40,15,4,51,70.5
E043,24,16,0,44,55.2
E044,35,16,7,44,67.5
E045,34,21,4,43,64.8
E046,23,16,2,41,63.7
E047,23,16,1,31,46.6
E048,31,10,2,46,46.0
E049,30,16,4,58,70.5
E050,52,21,7,51,86.9
E051,54,15,23,43,97.8
E052,51,16,29,39,123.0
E053,39,12,11,45,77.0
E054,46,10,6,47,55.2
E055,46,15,20,44,94.3
E056,38,18,6,50,74.7
E057,37,12,1,39,58.7
E058,56,10,5,51,59.7
E059,38,12,6,46,69.4
E060,52,15,26,42,117.5
E061,36,15,3,43,52.5
E062,30,18,7,47,76.4
E063,52,10,3,50,60.8
E064,42,15,18,45,93.4
E065,42,18,15,48,101.4
E066,56,10,3,59,55.0
E067,25,21,0,35,51.8
E068,50,16,7,33,64.0
E069,29,16,1,46,62.2
E070,35,15,9,39,70.3
E071,52,15,15,46,94.1
E072,38,15,10,35,64.8
E073,28,18,2,46,61.5
E074,40,10,19,53,101.1
E075,49,18,3,52,57.4
E076,54,12,22,38,98.4
E077,25,21,2,43,63.3
E078,47,21,26,50,122.7
E079,50,12,28,56,118.0
E080,36,16,7,39,61.9
E081,30,21,4,40,75.5
E082,38,16,6,52,76.3
E083,28,16,1,43,63.5
E084,25,18,3,39,64.0
E085,31,10,9,51,65.5
E086,39,15,9,35,73.5
E087,45,10,22,41,88.4
E088,30,10,2,51,49.5
E089,32,16,3,41,71.5
E090,25,16,4,50,73.2
E091,39,21,17,38,101.9
E092,25,15,2,50,69.1
E093,33,18,7,48,75.5
E094,29,15,3,55,69.4
E095,22,10,0,44,42.0
E096,47,10,10,43,66.9
E097,22,21,1,44,66.4
E098,28,15,4,51,74.2
E099,35,12,11,41,69.6
E100,42,10,3,44,58.2
E101,57,12,26,57,115.5
E102,43,21,13,50,87.7
E103,33,10,12,49,66.5
E104,56,15,11,42,74.9
E105,48,12,13,50,87.5
E106,38,18,5,38,68.6
E107,36,15,11,36,84.5
E108,49,16,2,39,58.7
E109,23,10,1,54,60.5
E110,23,15,2,46,60.9
E111,22,16,0,39,48.6
E112,45,15,9,43,77.8
E113,37,16,6,48,67.7
E114,57,10,32,52,116.6
E115,44,10,4,35,47.0
E116,23,16,2,53,62.8
E117,55,16,3,51,67.3
E118,54,10,1,41,51.1
E119,31,16,8,43,76.6
E120,27,12,0,48,61.8
